id,relative,candidate_speaker_count,graph_stable,screening_bucket,uncertainty_reasons
rec_0f7a57da91e8dbfa,session0/Camera-2024-07-09-111741-111806,1,False,uncertain,"['brief_voice_not_resolved', 'neighbor_sensitivity', 'partition_sensitivity']"
rec_08f84a9565d8244d,session0/Camera-2024-07-09-134253-134210,1,False,uncertain,"['brief_voice_not_resolved', 'neighbor_sensitivity', 'partition_sensitivity']"
rec_0130ee6cecaecfd5,session0/Camera-2024-07-09-142938-142853,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_39014326fdd9930e,session0/Camera-2024-07-09-151245-151110,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_ee3a703152fc4a4e,session0/Camera-2024-07-10-134814-134720,1,True,1_sustained_voice_candidate,[]
rec_20c1e42a2bcacf54,session0/Camera-2024-07-10-142319-142203,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_f733f4c5d7cdaebe,session0/Camera-2024-07-10-150927-150804,1,True,1_sustained_voice_candidate,[]
rec_cf740fda2efbb5ec,session0/Camera-2024-07-10-154722-154626,1,True,1_sustained_voice_candidate,[]
rec_050db630dddc21b7,session0/Camera-2024-07-11-094209-094215,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_46dfb40ab828a811,session0/Camera-2024-07-11-103159-103100,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_70176248473ea69e,session0/Camera-2024-07-11-111326-111141,1,True,1_sustained_voice_candidate,[]
rec_83e32b69a9e4d36f,session0/Camera-2024-07-11-120318-120232,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_0902fa2ead5d7870,session0/Camera-2024-07-11-134401-134311,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_329771b39d3ae293,session0/Camera-2024-07-11-142837-142758,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_2a3ff08a5d63ed1e,session0/Camera-2024-07-11-154330-154400,1,True,1_sustained_voice_candidate,[]
rec_0dc96a698294e43f,session0/Camera-2024-07-11-161602-161527,1,True,1_sustained_voice_candidate,[]
rec_4d14d112f3217e1a,session0/Camera-2024-07-16-134902-134937,2,True,2_sustained_voice_candidate,['brief_voice_not_resolved']
rec_c2e6101e53605429,session0/Camera-2024-07-16-143113-143143,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_de80865a48ed63d6,session0/Camera-2024-07-16-152105-152147,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_cbb81dcc00bac2aa,session0/Camera-2024-07-16-160716-160749,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_fc544e83c6a82c06,session0/Camera-2024-07-17-104338-104241,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_10bcd19e091f3680,session0/Camera-2024-07-17-112836-112807,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_8d27756c20d03c37,session0/Camera-2024-07-17-121257-121235,2,False,uncertain,"['brief_voice_not_resolved', 'insufficient_evidence', 'small_cluster']"
rec_6e24e20a67ee766a,session0/Camera-2024-07-19-143058-143036,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_1684ad845b6f7efb,session0/Camera-2024-07-19-151039-150947,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_93a22ddf08de42a5,session0/Camera-2024-07-22-103025-103101,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_62877c9e2008e98f,session0/Camera-2024-07-22-111042-111140,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_d065b1bf183957b7,session0/Camera-2024-07-22-135929-140003,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_fe8db776168f6c82,session0/Camera-2024-07-22-143349-143428,1,True,1_sustained_voice_candidate,[]
rec_ffcec5cc9ecdc8d3,session0/Camera-2024-07-22-155059-155140,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_cf3fe5ff40fbbe8f,session0/Camera-2024-07-24-095443-095420,1,True,1_sustained_voice_candidate,[]
rec_6fe229ab6c29b9e7,session0/Camera-2024-07-24-103011-103000,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_e8ff87f2c4d84c01,session0/Camera-2024-07-24-110700-110644,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_0460d5db3b1c8ae4,session0/Camera-2024-07-24-114427-114339,1,True,1_sustained_voice_candidate,[]
rec_684b6a449b35f0db,session0/Camera-2024-07-25-155256-155217,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_15bdcd0a3eb9fbb7,session0/Camera-2024-07-25-162817-162715,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_8f71084da0c9e407,session0/Camera-2024-07-26-103222-103252,1,False,uncertain,"['brief_voice_not_resolved', 'neighbor_sensitivity', 'partition_sensitivity']"
rec_53a18f5eabdf0868,session0/Camera-2024-07-26-110838-110914,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_d3b946fef75d18e7,session0/Camera-2024-07-26-120608-120642,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_4ac7f9f844932239,session0/Camera-2024-07-29-135410-135329,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_eb0a31550de044cb,session0/Camera-2024-07-29-150955-150932,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_151b0fece1b9cdf8,session0/Camera-2024-07-30-110806-110844,1,True,1_sustained_voice_candidate,[]
rec_686da1e53e837bb4,session0/Camera-2024-07-30-114103-114135,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_a15e57c58f8262b5,session0/Camera-2024-07-30-123234-123305,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_fbcef9b6fa8a4a9c,session0/Camera-2024-07-30-142002-142027,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_c5528b843b749d3b,session0/Camera-2024-07-30-154819-154923,1,True,1_sustained_voice_candidate,[]
rec_3366c254ff1619d3,session0/Camera-2024-07-30-161637-161715,1,True,1_sustained_voice_candidate,[]
rec_fc111a921ce3cfc7,session0/Camera-2024-07-31-102814-102840,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_7bc1020dad50aa4c,session0/Camera-2024-07-31-110521-110601,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_301cbe4f4e2a8b3d,session0/Camera-2024-07-31-114456-114534,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_e16b79f46cad256f,session0/Camera-2024-07-31-135431-135505,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_0ea2066d19c5d662,session0/Camera-2024-07-31-152258-152337,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_9b8512ee6df2a92d,session0/Camera-2024-07-31-172208-172241,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_12651eb5984ea709,session0/Camera-2024-08-08-153226-153307,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_37d3e63b2f3dccd3,session0/Camera-2024-10-14-143533-143358,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_8c91f0223097ae50,session0/Camera-2024-10-14-151541-151421,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_5e0159ec01a03ba6,session0/Camera-2024-10-14-161029-160925,,False,uncertain,['insufficient_evidence']
rec_5e4b317548ea6b98,session0/Camera-2024-10-15-094459-094548,1,True,1_sustained_voice_candidate,[]
rec_a762ba63944c417e,session0/Camera-2024-10-15-102854-102945,1,True,1_sustained_voice_candidate,[]
rec_10ceead355ca7860,session0/Camera-2024-10-15-111253-111325,2,False,uncertain,"['brief_voice_not_resolved', 'small_cluster']"
rec_9dc91aec77a19bf7,session0/Camera-2024-10-21-103126-103143,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_57c54bcc196ec58c,session0/Camera-2024-10-21-112420-112230,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_8576f7a322ecef18,session0/Camera-2024-10-21-121606-121455,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_c0c6b3ea9e65a3de,session0/Camera-2024-10-21-125749-125756,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_1d844968bdf942f9,session0/Camera-2024-10-22-103728-103815,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_e85d15a3238213cd,session0/Camera-2024-10-22-115558-115626,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_ef06e86a9e8d1c04,session0/Camera-2024-10-22-123739-123750,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_77d8b5aef840506e,session0/Camera-2024-10-22-153434-153503,1,True,1_sustained_voice_candidate,[]
rec_e3e3f51562825185,session0/Camera-2024-10-22-161742-161747,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_bb171f300dda08d2,session0/Camera-2024-10-22-165256-165322,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_109ff21b4a46573d,session0/Camera-2024-10-22-173423-173423,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_a2d7c51bbb5c262e,session0/Camera-2024-10-23-134159-134313,,False,uncertain,"['brief_voice_not_resolved', 'insufficient_evidence']"
rec_087400085908c582,session0/Camera-2024-10-23-143154-143223,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_276dde25825422d2,session0/Camera-2024-10-23-151539-151613,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_553e563be3cfd7e7,session0/Camera-2024-10-23-155518-155524,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_6e00d3d053fafc14,session1/Camera-2024-06-21-103121-103102,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_d1cb27a0e6c8505a,session1/Camera-2024-06-26-093649-093642,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_25027589fd815e7b,session1/Camera-2024-06-26-105024-105025,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_1fc74921b86d3da4,session1/Camera-2024-06-26-122334-122317,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_1932da65e94f4558,session1/Camera-2024-06-26-151459-151413,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_e29fe9adfd629512,session1/Camera-2024-06-26-160214-160213,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_69622c4a5e26fd29,session1/Camera-2024-06-28-103912-104008,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_74440fde6fa7cbcd,session1/Camera-2024-06-28-112322-112419,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_bba2e4e337c849d9,session1/Camera-2024-06-28-120152-120208,2,False,uncertain,"['brief_voice_not_resolved', 'neighbor_sensitivity', 'partition_sensitivity', 'small_cluster']"
rec_ce3e37dd7ebfda81,session1/Camera-2024-06-28-153101-153104,1,True,1_sustained_voice_candidate,[]
rec_7801d5f5ca7e7008,session1/Camera-2024-06-28-160651-160703,1,True,1_sustained_voice_candidate,[]
rec_963f4944dd34a810,session1/Camera-2024-06-28-164549-164628,1,True,1_sustained_voice_candidate,[]
rec_dd1913b7a968c40b,session1/Camera-2024-07-04-103805-103835,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_064d4cdfd7d771ef,session1/Camera-2024-07-04-112307-112347,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_05a5f3952c49fef4,session1/Camera-2024-07-04-120006-120008,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_a552f0c243fddd6f,session1/Camera-2024-07-08-120627-120613,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_06a512299fd632c8,session1/Camera-2024-07-08-143054-143035,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_83e9f212ac9417fc,session1/Camera-2024-07-08-151240-151227,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_16cf3f147e51766d,session1/Camera-2024-07-09-100427-100257,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_f844dd0f5751a592,session1/Camera-2024-07-09-104540-104439,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_30e6f6ebc3bcc64b,session1/Camera-2024-07-09-111741-111806,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_e48787fc54831fae,session1/Camera-2024-07-09-134253-134210,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_f478d8e760d25971,session1/Camera-2024-07-09-142938-142853,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_60ca60cd55315d8f,session1/Camera-2024-07-09-151245-151110,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_79892405a6082ace,session1/Camera-2024-07-10-134814-134720,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_c753568364979ab1,session1/Camera-2024-07-10-142319-142203,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_7b1ec34ccfdd1b5a,session1/Camera-2024-07-10-150927-150804,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_87cc65d85e2827fa,session1/Camera-2024-07-10-154722-154626,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_5781bdb95a34a60c,session1/Camera-2024-07-11-094209-094215,1,True,1_sustained_voice_candidate,[]
rec_b95b6df6718b14fc,session1/Camera-2024-07-11-103159-103100,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_2e9a6c3ce7ab9499,session1/Camera-2024-07-11-111326-111141,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_6d8c202343b787b4,session1/Camera-2024-07-11-120318-120232,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_8524684cdd6ed0c0,session1/Camera-2024-07-11-134401-134311,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_c9721317313de326,session1/Camera-2024-07-11-142837-142758,1,True,1_sustained_voice_candidate,[]
rec_96f7ed1fd7db7838,session1/Camera-2024-07-11-154330-154400,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_6612420c63b99a9f,session1/Camera-2024-07-11-161602-161527,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_0d9ab640a3e1e339,session1/Camera-2024-07-16-134902-134937,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_4dd12e22c9033b93,session1/Camera-2024-07-16-143113-143143,1,True,1_sustained_voice_candidate,[]
rec_cbb5cb7090b289ff,session1/Camera-2024-07-16-152105-152147,1,False,uncertain,"['brief_voice_not_resolved', 'neighbor_sensitivity', 'partition_sensitivity']"
rec_9ce4800388d04fbc,session1/Camera-2024-07-16-160716-160749,1,True,1_sustained_voice_candidate,[]
rec_003beb44cfba9819,session1/Camera-2024-07-17-112836-112807,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_01e1f9e80642ed7a,session1/Camera-2024-07-17-121257-121235,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_ec134f2df2ef3425,session1/Camera-2024-07-19-143058-143036,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_4e7e254b75df94ac,session1/Camera-2024-07-19-151039-150947,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_939f96ec031bae93,session1/Camera-2024-07-22-093331-093420,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_0d01bdba0161a7d3,session1/Camera-2024-07-22-103025-103101,1,False,uncertain,"['brief_voice_not_resolved', 'neighbor_sensitivity', 'partition_sensitivity']"
rec_a94608faaff6b944,session1/Camera-2024-07-22-111042-111140,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_e4472e25a880a63e,session1/Camera-2024-07-22-132508-132549,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_fb3b68538b6b5415,session1/Camera-2024-07-22-135929-140003,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_914406c079aad650,session1/Camera-2024-07-22-143349-143428,2,False,uncertain,"['brief_voice_not_resolved', 'neighbor_sensitivity', 'partition_sensitivity']"
rec_6203d65bfe4ceb9e,session1/Camera-2024-07-22-155059-155140,1,True,1_sustained_voice_candidate,[]
rec_48ee24f8345769a9,session1/Camera-2024-07-24-095443-095420,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_be050e61a90da76f,session1/Camera-2024-07-24-103011-103000,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_82b215195edeec51,session1/Camera-2024-07-24-110700-110644,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_b863f1947716e268,session1/Camera-2024-07-24-114427-114339,1,True,1_sustained_voice_candidate,[]
rec_48da26b9a6046f3a,session1/Camera-2024-07-25-155256-155217,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_51338b48eb284daa,session1/Camera-2024-07-25-162817-162715,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_9eb6a3f6a6abe365,session1/Camera-2024-07-26-103222-103252,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_00503b97ae2262a9,session1/Camera-2024-07-26-110838-110914,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_45972e8dbb6d4984,session1/Camera-2024-07-26-120608-120642,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_b1c5af7e529c1d21,session1/Camera-2024-07-29-135410-135329,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_30445617af7a8412,session1/Camera-2024-07-29-150955-150932,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_4081e61232ab6a81,session1/Camera-2024-07-29-163415-163339,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_b32ef6917130816e,session1/Camera-2024-07-30-110806-110844,1,True,1_sustained_voice_candidate,[]
rec_878c4b72904ea716,session1/Camera-2024-07-30-114103-114135,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_139e098890bab15e,session1/Camera-2024-07-30-123234-123305,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_0ba657308d357d7a,session1/Camera-2024-07-30-150921-151000,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_c8026ea61b2ae874,session1/Camera-2024-07-30-154819-154923,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_08a1289a6296bb68,session1/Camera-2024-07-30-161637-161715,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_5b2465f0a89c191b,session1/Camera-2024-07-31-102814-102840,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_a446c77cf1689814,session1/Camera-2024-07-31-110521-110601,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_d12fac08035a71d1,session1/Camera-2024-07-31-114456-114534,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_9f07225f88bffadb,session1/Camera-2024-07-31-135431-135505,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_688cac194fac8e0a,session1/Camera-2024-07-31-152258-152337,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_fb1db17ad9582950,session1/Camera-2024-07-31-172208-172241,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_af30b2466935c5eb,session1/Camera-2024-08-08-153226-153307,1,True,1_sustained_voice_candidate,[]
rec_293bc156001ba176,session1/Camera-2024-10-14-135007-134930,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_d488c7de7eafd9c1,session1/Camera-2024-10-14-143533-143358,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_46075cfeeb4ccda1,session1/Camera-2024-10-14-151541-151421,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_ee257e01185605b7,session1/Camera-2024-10-14-161029-160925,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_ab0a830877b21df2,session1/Camera-2024-10-15-094459-094548,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_2b59c35c824aba44,session1/Camera-2024-10-15-102854-102945,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_a9dfe5d5fcc6552b,session1/Camera-2024-10-15-111253-111325,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_58a3e43d3de19eeb,session1/Camera-2024-10-21-103126-103143,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_f91ebb1634bfe21d,session1/Camera-2024-10-21-112420-112230,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_95589c968a62ab48,session1/Camera-2024-10-21-121606-121455,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_c584b87fc84d70a5,session1/Camera-2024-10-21-125749-125756,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_4df1136bda5f0fce,session1/Camera-2024-10-22-103728-103815,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_ed04f2a368806558,session1/Camera-2024-10-22-115558-115626,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_1f8b4ef4ef29421e,session1/Camera-2024-10-22-123739-123750,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_94259b90d0269a08,session1/Camera-2024-10-22-153434-153503,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_dac34461b9ad9b6e,session1/Camera-2024-10-22-161742-161747,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_f0c591c305ea482d,session1/Camera-2024-10-22-165256-165322,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_12db2044bb3d7109,session1/Camera-2024-10-22-173423-173423,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_937bf3bbdf83e8eb,session1/Camera-2024-10-23-134159-134313,,False,uncertain,"['brief_voice_not_resolved', 'insufficient_evidence']"
rec_c71612beae56f2d8,session1/Camera-2024-10-23-143154-143223,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_717034f62b9d5254,session1/Camera-2024-10-23-151539-151613,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_304cad73aee03b49,session1/Camera-2024-10-23-155518-155524,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_0f40b9903ae745b5,session11/Camera-2024-06-21-103121-103102,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_cbba89db6f0106f9,session11/Camera-2024-06-26-093649-093642,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_cab3a930231f3ac3,session11/Camera-2024-06-26-105024-105025,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_8e0dfb16b6dcf44f,session11/Camera-2024-06-26-122334-122317,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_20176244733908e9,session11/Camera-2024-06-26-151459-151413,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_799aa78a81a04e69,session11/Camera-2024-06-26-160214-160213,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_7a7fc0cbd0e19893,session11/Camera-2024-06-28-103912-104008,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_0cb99c5462d82eb9,session11/Camera-2024-06-28-112322-112419,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_1b2eb4eb0e10c2fa,session11/Camera-2024-06-28-120152-120208,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_d105116cb974646f,session11/Camera-2024-06-28-153101-153104,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_61ac12d4c0a9bb31,session11/Camera-2024-06-28-160651-160703,1,True,1_sustained_voice_candidate,[]
rec_6f1e81b91245581e,session11/Camera-2024-06-28-164549-164628,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_84932d0a8d3e21b7,session11/Camera-2024-07-04-103805-103835,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_1dc8eecb24c74da1,session11/Camera-2024-07-04-112307-112347,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_4d8a78f93574df23,session11/Camera-2024-07-04-120006-120008,2,False,uncertain,"['brief_voice_not_resolved', 'neighbor_sensitivity', 'partition_sensitivity']"
rec_8064b6ae2487e991,session11/Camera-2024-07-08-120627-120613,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_763e754a7f813f24,session11/Camera-2024-07-08-143054-143035,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_18bf081032b0f2ba,session11/Camera-2024-07-08-151240-151227,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_3c4d55476914a011,session11/Camera-2024-07-09-100427-100257,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_66b5eb0ec88c398a,session11/Camera-2024-07-09-104540-104439,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
rec_8ca826ab179beabe,session11/Camera-2024-07-09-111741-111806,1,True,1_sustained_voice_candidate,['brief_voice_not_resolved']
